n,r,Model,LoRA Layers,acceptance_rate,latency
8,1,FF,0,5.19,0.0299
8,32,HMM,0,6.02,0.0362
8,32,BTREE,0,6.02,0.0326
8,32,CP,0,5.88,0.0314
16,1,FF,0,5.34,0.0308
16,32,HMM,0,6.93,0.0421
16,32,CP,0,6.18,0.0333
16,32,BTREE,0,6.76,0.0347
