n,r,Model,LoRA Layers,acceptance_rate,latency
8,1,FF,1,1.71,0.0291
8,32,CP,1,2.04,0.0311
8,32,HMM,1,2.31,0.0351
8,32,BTREE,1,2.27,0.0318
16,1,FF,1,1.72,0.0299
16,32,HMM,1,2.32,0.0400
16,32,CP,1,2.07,0.0303
16,32,BTREE,1,2.37,0.0333
