n,r,Model,LoRA Layers,acceptance_rate,latency
8,1,FF,0,5.19,0.030
8,32,HMM,0,6.02,0.0362
8,32,BTree,0,6.02,0.0326
8,32,CP,0,5.88,0.0314
8,32,BTree,2,6.18,0.0354
8,1,FF,1,5.11,0.0325
16,1,FF,0,5.34,0.0308
16,32,HMM,0,6.93,0.0421
16,32,CP,0,6.18,0.0333
16,32,BTree,0,6.76,0.0347
16,32,BTree,1,7.36,0.0371
16,32,BTree,2,7.50,0.0379
16,1,FF,1,5.62,0.0331
