n,r,Model,LoRA Layers,acceptance_rate,latency
8,1,FF,0,6.89,0.0300
8,32,HMM,0,6.70,0.0324
8,32,CP,0,6.70,0.0317
8,32,BTREE,0,6.71,0.0315
16,1,FF,0,7.75,0.0299
16,32,HMM,0,8.43,0.0360
16,32,CP,0,7.79,0.0333
16,32,BTREE,0,8.26,0.0353
