circuit,n_token,n_component,mode,peak_mem_gb,mem_after_load_gb,num_generated_tokens,prompt_length
btree,8,32,mtp,14.48046875,0.0009765625,1024,4
btree,8,32,speculative,14.904296875,0.0009765625,1024,4
btree,16,32,mtp,15.1640625,0.0009765625,1024,4
btree,16,32,speculative,15.607421875,0.0009765625,1024,4
