circuit,n_token,n_component,mode,peak_mem_gb,mem_after_load_gb,num_generated_tokens,prompt_length
hmm,8,32,mtp,14.474609375,0.0009765625,1024,4
hmm,8,32,speculative,14.494140625,0.0009765625,1024,4
hmm,16,32,mtp,15.158203125,0.0009765625,1024,4
hmm,16,32,speculative,15.177734375,0.0009765625,1024,4
