circuit,n_token,n_component,mode,peak_mem_gb,mem_after_load_gb,num_generated_tokens,prompt_length
btree,8,32,mtp,13.86328125,12.794921875,1024,57
btree,16,32,mtp,14.56640625,13.517578125,1024,57
