circuit,n_token,n_component,mode,peak_mem_gb,mem_after_load_gb,num_generated_tokens,prompt_length
btree,8,32,mtp,13.8359375,12.775390625,1024,57
btree,8,32,speculative,13.85546875,12.814453125,1024,57
btree,16,32,mtp,14.5390625,13.498046875,1024,57
btree,16,32,speculative,14.55859375,13.498046875,1024,57
