circuit,n_token,n_component,mode,peak_mem_gb,mem_after_load_gb,num_generated_tokens,prompt_length
fully_factorized,8,1,mtp,13.19921875,12.150390625,1024,57
fully_factorized,8,1,speculative,26.31640625,24.298828125,1024,57
fully_factorized,16,1,mtp,13.23828125,12.208984375,1024,57
fully_factorized,16,1,speculative,26.3359375,24.318359375,1024,57
